,DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,censuscode
539,Sonbhadra,Uttar Pradesh,9,69,200
540,Sonipat,Haryana,6,8,76
541,Sonitpur,Assam,18,7,306
542,South Delhi,NCT of Delhi,7,9,98
543,South Sikkim,Sikkim,11,3,243
544,South 24 Parganas,West Bengal,19,17,343
545,South Garo Hills,Meghalaya,17,3,295
546,South Goa,Goa,30,2,586
547,South Tripura,Tripura,16,2,290
548,South West Delhi,NCT of Delhi,7,8,97
549,Srikakulam,Andhra Pradesh,28,11,542
550,Srinagar,Jammu & Kashmir,1,10,10
551,Sultanpur,Uttar Pradesh,9,48,179
552,Sundargarh,Odisha,21,5,374
553,Supaul,Bihar,10,6,208
554,Surat,Gujarat,24,25,492
555,Surendranagar,Gujarat,24,8,475
556,Surguja,Chhattisgarh,22,2,401
557,Tamenglong,Manipur,14,2,273
558,Tarn Taran,Punjab,3,16,50
559,Tawang,Arunanchal Pradesh,12,1,245
560,Tehri Garhwal,Uttarakhand,5,4,59
561,Thane,Maharashtra,27,21,517
562,Thanjavur,Tamil Nadu,33,19,620
563,Dang,Gujarat,24,22,489
564,Nilgiris,Tamil Nadu,33,10,611
565,Theni,Tamil Nadu,33,23,624
566,Thiruvallur,Tamil Nadu,33,1,602
567,Thiruvananthapuram,Kerala,32,14,601
568,Thiruvarur,Tamil Nadu,33,18,619
569,Thoothukkudi,Tamil Nadu,33,26,627
570,Thoubal,Manipur,14,5,276
571,Thrissur,Kerala,32,7,594
572,Tikamgarh,Madhya Pradesh,23,7,424
573,Tinsukia,Assam,18,10,309
574,Tirap,Arunanchal Pradesh,12,10,254
575,Tiruchirappalli,Tamil Nadu,33,13,614
576,Tirunelveli,Tamil Nadu,33,27,628
577,Tiruppur,Tamil Nadu,33,32,633
578,Tiruvannamalai,Tamil Nadu,33,5,606
579,Tonk,Rajasthan,8,22,120
580,Tuensang,Nagaland,13,7,267
581,Tumakuru,Karnataka,29,17,571
582,Udaipur,Rajasthan,8,32,130
583,Udalguri,Assam,18,27,326
584,Udhampur,Jammu & Kashmir,1,19,19
585,Udham Singh Nagar,Uttarakhand,5,12,67
586,Udupi,Karnataka,29,15,569
587,Ujjain,Madhya Pradesh,23,18,435
588,Ukhrul,Manipur,14,8,279
589,Umaria,Madhya Pradesh,23,14,431
590,Una,Himachal Pradesh,2,7,29
591,Unnao,Uttar Pradesh,9,25,156
592,Upper Siang,Arunanchal Pradesh,12,8,252
593,Upper Subansiri,Arunanchal Pradesh,12,5,249
594,Uttar Dinajpur,West Bengal,19,4,330
595,Uttara Kannada,Karnataka,29,9,563
596,Uttarkashi,Uttarakhand,5,1,56
597,Vadodara,Gujarat,24,19,486
598,Vaishali,Bihar,10,18,220
599,Valsad,Gujarat,24,24,491
600,Varanasi,Uttar Pradesh,9,66,197
601,Vellore,Tamil Nadu,33,4,605
602,Vidisha,Madhya Pradesh,23,26,443
603,Viluppuram,Tamil Nadu,33,6,607
604,Virudhunagar,Tamil Nadu,33,24,625
605,Visakhapatnam,Andhra Pradesh,28,13,544
606,Vizianagaram,Andhra Pradesh,28,12,543
607,Warangal Urban,Andhra Pradesh,28,9,540
608,Wardha,Maharashtra,27,8,504
609,Washim,Maharashtra,27,6,502
610,Wayanad,Kerala,32,3,590
611,West Delhi,NCT of Delhi,7,7,96
612,West Sikkim,Sikkim,11,2,242
613,West Garo Hills,Meghalaya,17,1,293
614,West Godavari,Andhra Pradesh,28,15,546
615,West Kameng,Arunanchal Pradesh,12,2,246
616,West Khasi Hills,Meghalaya,17,4,296
617,Khargone,Madhya Pradesh,23,23,440
618,West Siang,Arunanchal Pradesh,12,6,250
619,West Tripura,Tripura,16,1,289
620,Wokha,Nagaland,13,4,264
621,Yadgir,Karnataka,29,26,580
622,Yavatmal,Maharashtra,27,14,510
623,Zunheboto,Nagaland,13,3,263
624,Kabeerdham,Chhattisgarh,22,8,407
625,Yamunanagar,Haryana,6,3,71
626,Jind,Haryana,6,9,77
627,Dausa,Rajasthan,8,11,109
628,Karauli,Rajasthan,8,9,107
629,Sawai Madhopur,Rajasthan,8,10,108
630,Arwal,Bihar,10,38,240
631,Jehanabad,Bihar,10,37,239
632,Nagapattinam,Tamil Nadu,33,17,618
633,Karaikal,Puducherry,34,4,637
634,Puducherry,Puducherry,34,2,635
635,Yanam,Puducherry,34,1,634
636,Tapi,Gujarat,24,26,493
637,Nicobars,Andaman & Nicobar Island,35,1,638
638,South Andaman,Andaman & Nicobar Island,35,3,640
639,North and Middle Andaman,Andaman & Nicobar Island,35,2,639
640,Lakshadweep,Lakshadweep,31,1,587
